Reviewer,Comment ID,Comment summary,Strategy,Action taken,Primary location,Status / remaining work,Notes
Reviewer 1,Major 1,"Clarify computational capabilities, upload limits, runtime estimates, and pre-checks for intensive methods such as ConQuR.",Address mainly in app/server and briefly in manuscript/response. Add concrete limits and early validation rather than long main-text benchmark discussion.,Added public-server upload limits and pre-run validation; correction page reports current-session elapsed time and available average elapsed-time information; response explains limits and runtime guidance.,Website/server; main Summary/Features; response letter,Implemented for limits/pre-checks/runtime display. Full archival benchmark table can be added later if desired.,"Avoid overclaiming exact runtime for all possible datasets because runtime depends on dimensions, method parameters, and load."
Reviewer 1,Major 2,Warn users when phenotype/target and batch are confounded or strongly correlated.,"Add advisory design-risk warning, not a hard blocker. Pair warning with mosaic plot.",Upload workflow flags strong association between selected batch and target variables; manuscript/supplement describe mosaic plot and batch-target balance.,Website/server; main case study; Supplementary Figure S1; response letter,Implemented.,State clearly that the warning identifies design risk; it cannot resolve confounding automatically.
Reviewer 1,Minor 1,Fix grammar: “source code is available”.,Direct text correction.,Corrected Availability statement grammar.,Main abstract/Availability,Implemented.,
Reviewer 1,Minor 2,Use one consistent server URL.,Standardize public URL globally.,Use https://mbatchnet.com/ consistently.,Main text; response letter; touched website/docs where relevant,Implemented.,
Reviewer 2,Major 1,Add method applicability scenarios and explanations of adjustable parameters.,Put detailed user guidance in app; keep main text concise; supplement gives category mapping. Avoid subjective method recommendation.,"Correction table now includes method explanations, package/citation/source references, and parameter help text. Main text lists all 12 methods and groups them; supplement maps methods by practical categories.",Website/server; main Features/Implementation; Supplementary Note 1; response letter,Implemented.,"Use neutral wording: input assumptions, covariates, target labels, method parameters."
Reviewer 2,Major 2,"Handle NAs, abnormal values, outliers, and anomalous real-world inputs.",Harden validation and error prompts. Do not add silent imputation/outlier removal because mBatchNet is not primary data-cleaning software.,"Upload validation blocks malformed numeric matrices, blank/non-numeric/NA/NaN/Inf values, row mismatch, missing batch/target, insufficient levels, all-zero sample rows, and public-limit violations. Warnings cover large uploads, all-zero feature columns, high sparsity, negative/transformed-looking values, and strong batch-target association.",Website/server; Supplementary Note 2; response letter,Implemented as validation/error-handling policy.,Response explicitly explains why automatic imputation/outlier removal was not added.
Reviewer 2,Minor,Add Export Script functionality for reproducibility.,Address reproducibility goal with server-centered bundle rather than standalone local script.,"Added separate Repro bundle that records session inputs, selected metadata variables, method parameters, validation metadata, run metadata, and session state; upload page can restore reproducibility_bundle.zip. GitHub source remains available for local execution.",Website/server; response letter,"Implemented as reproducibility bundle, not script export.",This avoids promising a local script that may not reproduce the server environment exactly.
Reviewer 3,General,"If framed as a review article, revise Introduction to discuss method landscape and mechanisms; add more datasets.",Clarify Application Note scope. Keep only concise method/resource context in main text; do not turn paper into review article.,"Revised Summary/Introduction/Conclusion to emphasize web-server integration, harmonized diagnostics, reproducible outputs, and user guidance.",Main Summary/Introduction/Conclusion; response letter,Implemented.,Response explains page-limit/article-type constraint.
Reviewer 3,Major 1,Describe the anaerobic digestion 16S dataset clearly within the article.,Add concise case-study details in main text and supplement.,"Added source/context, 231 OTUs, 75 samples, target phenol groups, five processing-date batches, treatment-duration covariate, target group sizes, and batch-size range.",Main Results; Supplementary Figure S1; response letter,Implemented.,
Reviewer 3,Major 2,Manuscript does not propose a novel algorithm comparable to ConQuR/MMUPHin/PLSDA-batch.,Agree and clarify contribution as software integration/Application Note rather than algorithm novelty.,"Reworded Summary/Introduction/Conclusion around established methods, web workflow, standardized benchmarking, and exportable outputs.",Main Summary/Introduction/Conclusion; response letter,Implemented.,Avoid phrase that sounded awkward: “rather than as a new correction algorithm”; use natural Application Note framing.
Reviewer 3,Minor,Terminology confusion: software variables versus biology/statistics variables.,Standardize terminology.,"Use “metadata variables”, “target”, “batch”, “covariates”, and “method parameters” consistently.",Main text; website/server text where touched; response letter,Implemented in revised surfaces.,
Reviewer 4,General 1,Provide guidance/recommendations for choosing suitable methods/models.,"Provide neutral interpretation and compatibility guidance, not universal best-method recommendation.","Added method explanations, parameter help, method category descriptions, and diagnostic interpretation guidance.",Website/server; main Features/Implementation; Supplementary Note 1; response letter,Implemented.,Avoid subjective “best method” claims.
Reviewer 4,General 2,Link metric definitions to figure/case-study interpretation.,Strengthen Results narrative while keeping main text fluid.,"Results now ties ordination, distance tests, variance partitioning, and neighborhood metrics to residual batch separation, phenotype separation, variance attribution, and local mixing.",Main Results; Supplementary Note 1; response letter,Implemented.,
Reviewer 4,General 3,"Include more numerical/statistical evidence, including corrected effect sizes and p-values.",Report key values in Results and full compact table in supplement; avoid overcrowding main figure.,Added Bray-Curtis ANOSIM R/p and PERMANOVA R2/p for uncorrected and displayed corrected outputs; Supplementary Table S1 contains full values.,Main Results; Figure 1 caption; Supplementary Table S1; response letter,Implemented for displayed case-study outputs.,Figure points to values rather than adding too much text inside panel.
